"Position","product_link","age","number_of_pieces","title","price","image_link","product_description"
11,"https://www.lego.com/nl-nl/product/battle-of-endor-heroes-40623","10+",549,"Slag om Endor™ helden","€39,99","https://www.lego.com/cdn/cs/set/assets/blt6ca0aa8d223ed976/40623.png","Vier het 40e jubileum van Star Wars: Return of the Jedi met 5 helden uit de Slag om Endor (40623). Deze set is een geweldig cadeau voor fans van 10 jaar en ouder en bevat bouwbare LEGO® BrickHeadz™ Star Wars™ figuren van Luke Skywalker, R2-D2, Lando Calrissian, Wicket en prinses Leia in authentieke outfits, plus Luke's lichtzwaard, Wickets speer en Leia's snack. De bouwbare personages om te verzamelen staan elk op hun eigen bouwplaat. Zet ze bij elkaar voor een krachtige blikvanger. Bouw 5 Slag om Endor helden (40623) - bouwbare LEGO® BrickHeadz™ figuren van Luke Skywalker, R2-D2, Lando Calrissian, Wicket en prinses Leia in Star Wars: Return of the Jedi outfits Gemaakt om neer te zetten - elk personage in deze bouwset met 549 onderdelen voor kinderen vanaf 10 jaar staat op een eigen bouwplaat. Ook inclusief Luke's lichtzwaard, Wickets speer en Leia's snack Cadeau van topkwaliteit - deze set is een leuk cadeau voor een verjaardag of de feestdagen voor Star Wars™ fans van 10 jaar en ouder. De R2-D2 LEGO® droid figuur is ca. 5 cm hoog"
12,"https://www.lego.com/nl-nl/product/scrooge-mcduck-huey-dewey-louie-40477","10+",340,"Dagobert Duck, Kwik, Kwek en Kwak","€24,99","https://www.lego.com/cdn/cs/set/assets/bltee28d035d27d0ac6/40477.jpg","Maak indruk op Disney fans met deze LEGO® BrickHeadz™ ǀ Disney Dagobert Duck, Kwik, Kwek en Kwak (40477) set die je kunt bouwen en neerzetten. De gedetailleerde figuren staan op zwarte BrickHeadz standaarden en zijn er klaar voor om geld te tellen of kattenkwaad uit te halen. De figuren zijn voorzien van leuke details, zoals de bekende hoge hoed van Dagobert en de bedrukte tegel op zijn bovenlichaam. Kwik, Kwek en Kwak hebben bijpassende honkbalpetten en T-shirts. Deze set met bouwbare figuren is een geweldig cadeau voor Disney fans, BrickHeadz verzamelaars en liefhebbers van stripfiguren. Bouwset om te verzamelen met coole LEGO® BrickHeadz™ versies van de beroemde Dagobert Duck en zijn achterneefjes Kwik, Kwek en Kwak. Een geweldig cadeau voor LEGO® fans, BrickHeadz™ verzamelaars en Disney fans van 10 jaar en ouder. Disney's Dagobert Duck is ca. 10 cm hoog en de jonge eendjes zijn elk ca. 6 cm hoog. Deze 340-delige set bevat 4 figuren, elk met een zwarte BrickHeadz™ standaard."
13,"https://www.lego.com/nl-nl/product/aragorn-arwen-40632","10+",261,"Aragorn™ & Arwen™","€19,99","https://www.lego.com/cdn/cs/set/assets/blta84e06d436db4688/40632.png","Denk terug aan de bruiloft van Aragorn™ en Arwen™ in The Lord of the Rings: The Return of the King met deze LEGO® BrickHeadz™ figuren (40632) om te verzamelen. Aragorn draagt zijn koninklijke outfit met een kroon en Arwen ziet er prachtig uit in een groene trouwjurk van LEGO stenen en een tiara. Deze bouwset om neer te zetten is een leuk cadeau voor een verjaardag, de feestdagen of zomaar tussendoor voor fans van The Lord of the Rings™, LEGO bouwers en LEGO BrickHeadz verzamelaars. LEGO® BrickHeadz™ Aragorn™ & Arwen™ bouwset (40632) - met LEGO BrickHeadz verzamelfiguren van Aragorn en Arwen in hun trouwkleding uit The Lord of the Rings: The Return of the King Cadeau-idee voor kinderen vanaf 10 jaar - deze 261-delige constructieset is een leuk cadeau voor fans van The Lord of the Rings™, LEGO® bouwers en LEGO BrickHeadz™ verzamelaars Bouwen en neerzetten - de Aragorn™ en Arwen™ figuren zijn allebei ca. 9 cm hoog. Beide modellen hebben een bouwplaat om ze op te zetten"
14,"https://www.lego.com/nl-nl/product/cruella-maleficent-40620","10+",320,"Cruella & Maleficent","€19,99","https://www.lego.com/cdn/cs/set/assets/blt118a635a998fccfa/40620.png","Maak filmfans en kinderen van 10 jaar en ouder blij met deze BrickHeadz™ set met bouwbare LEGO® figuren van Disney's klassieke Cruella & Maleficent (40620). Bouw beide gedetailleerde modellen, zet ze elk op hun eigen bouwplaat en geef ze een mooi plekje in je huis of op kantoor. De set bestaat uit 320 onderdelen om de 2 LEGO figuren mee te creëren. Het lichaam van Maleficent kan worden versierd met een sticker. Deze verzamelset is een leuke verrassing en een prachtige blikvanger voor kinderen en fans van de Disney films met Cruella en Maleficent. Schurken van LEGO stenen - bouwbare LEGO® BrickHeadz™ figuren van Disney's Cruella & Maleficent (40620) om neer te zetten. Een leuk cadeau voor filmfans of oudere kinderen met een passie voor Disney schurken Angstaanjagend leuke blikvanger - deze 320-delige LEGO® BrickHeadz™ bouwset om te verzamelen voor kinderen vanaf 10 jaar bevat stapsgewijze bouwinstructies en bouwplaten om de modellen op een mooi plekje neer te zetten Afmetingen - Cruella de Vil is ca. 8 cm hoog en Maleficent is ca. 9 cm hoog"
15,"https://www.lego.com/nl-nl/product/the-mandalorian-the-child-75317","10+",295,"De Mandalorian™ en het Kind","€19,99","https://www.lego.com/cdn/cs/set/assets/bltf26654748edaee26/75317.png","herinneringen op aan geweldige Star Wars: The Mandalorian verhalen met dit leuke bouwspeelgoed voor creatieve kinderen, bestaande uit LEGO® BrickHeadz™ versies van de Mandalorian en het Kind (75317). Fans zullen de authentieke details, zoals de kenmerkende wapens van de Mandalorian - een blastergeweer en een blasterpistool - zeker waarderen. De oren van het Kind zijn te verstellen, zodat het er vrolijk of triest uitziet en het zit in een zweefkinderwagen die 'zweeft' op 4 doorzichtige LEGO elementen. Leuk om te bouwen, cool om neer te zetten Dit geweldige bouwspeelgoed is een echte aanwinst voor de verzameling van iedere Star Wars™ fan. Het is leuk om zelf of met vrienden of familie te bouwen en de bouwbare LEGO figuren hebben allebei een eigen bouwplaat waarmee je een opvallende blikvanger kunt creëren. Al sinds 1999 maakt de LEGO Groep beroemde ruimteschepen, voertuigen, locaties en personages uit het legendarische Star Wars universum. LEGO Star Wars is inmiddels het meest succesvolle thema, met een enorme variëteit aan cadeau-ideeën om jong en oud mee te verrassen op een verjaardag, een feestdag of een andere speciale gelegenheid."
16,"https://www.lego.com/nl-nl/product/draco-malfoy-cedric-diggory-40617","10+",262,"Draco Malfidus™ en Carlo Kannewasser","€19,99","https://www.lego.com/cdn/cs/set/assets/bltb41a29af06e4bccc/40617.png","Laat Harry Potter™ fans terugdenken aan de spannendste Zwerkbal™ wedstrijden met deze LEGO® BrickHeadz™ Draco Malfidus™ en Carlo Kannewasser (40617) figuren. De van stenen gebouwde personages zijn gekleed in de uniformen van Zwadderich™ en Huffelpuf™ die ze dragen tijdens Zwerkbalwedstrijden. De set is een inspirerend LEGO cadeau voor kinderen vanaf 10 jaar en bevat een afdelingsbeker en 2 bezemsteelaccessoires. Draco Malfidus™ en Carlo Kannewasser in LEGO® BrickHeadz™ stijl (40617) - bouw de 2 personages in hun eigen Zwerkbal™ uniformen en zet ze neer terwijl ze de huisbeker en 2 bezemsteelaccessoires vasthouden Gemaakt om gezien te worden - elk bouwbare personage is ca. 6 cm hoog, inclusief de bouwplaat Cadeau-idee voor kinderen vanaf 10 jaar - geef deze 262-delige LEGO® set cadeau aan een Harry Potter™ fan voor een verjaardag, de feestdagen of als verrassing"
17,"https://www.lego.com/nl-nl/product/gandalf-the-grey-balrog-40631","10+",348,"Gandalf de Grijze™ & Balrog™","€19,99","https://www.lego.com/cdn/cs/set/assets/blt625e667e3b206d20/40631.png","You shall not pass! Leg een beroemde confrontatie vast uit The Lord of the Rings: The Fellowship of the Ring met deze LEGO® BrickHeadz™ Gandalf de Grijze™ & Balrog™ bouwset (40631) om te verzamelen. Creëer herkenbare details van de tovenaar Gandalf de Grijze en het vlammende beest Balrog en zet de bouwbare figuren vol trots op een mooi plekje neer. Deze set is een magische verrassing voor een verjaardag of de feestdagen voor fans van The Lord of the Rings™, LEGO bouwers en LEGO BrickHeadz verzamelaars. LEGO® BrickHeadz™ Gandalf de Grijze™ & Balrog™ bouwset (40631) - een LEGO BrickHeadz Gandalf figuur met een zwaard en staf en een Balrog figuur met een zweep Cadeau-idee voor kinderen vanaf 10 jaar - deze 348-delige constructieset is een leuk cadeau voor fans van The Lord of the Rings™, LEGO® bouwers en LEGO BrickHeadz™ verzamelaars Bouwen en neerzetten - de Gandalf de Grijze™ en Balrog™ figuren zijn allebei ca. 9 cm hoog. Beide verzamelmodellen zijn inclusief een bouwplaat om het modelop te zetten"
18,"https://www.lego.com/nl-nl/product/harry-potter-cho-chang-40616","10+",267,"Harry Potter™ en Cho Chang","€19,99","https://www.lego.com/cdn/cs/set/assets/blt1ced90e8c199e31f/40616.png","Fans kunnen spannende Zwerkbal™ verhalen verzinnen terwijl ze deze LEGO® BrickHeadz™ Harry Potter™ en Cho Chang (40616) figuren bouwen. Met authentieke details, zoals de Zwerkbaluniformen van de afdelingen Griffoendor™ en Ravenklauw™ plus een Gouden Snaai™ en bezemstelen, vormt dit bouwbare duo een magisch LEGO cadeau voor kinderen vanaf 10 jaar en Harry Potter verzamelaars. Harry Potter™ en Cho Chang in LEGO® BrickHeadz™ stijl (40616) - bouw de 2 personages in hun eigen Zwerkbal™ uniformen en zet ze neer terwijl ze de bezemsteel en Gouden Snaai™ accessoires vasthouden Gemaakt om gezien te worden - elk bouwbare personage is ca. 8 cm hoog, inclusief de bouwplaat LEGO® Harry Potter™ cadeau-idee voor kinderen vanaf 10 jaar - geef deze 267-delige bouwset cadeau aan een Harry Potter fan voor een verjaardag, de feestdagen of als verrassing"
19,"https://www.lego.com/nl-nl/product/jake-sully-his-avatar-40554","10+",246,"Jake Sully en zijn avatar","€19,99","https://www.lego.com/cdn/cs/set/assets/blt706954aeb479e8e1/40554.png","Fans van LEGO® BrickHeadz™ en liefhebbers van de film Avatar zullen weg zijn van deze Jake Sully en zijn avatar (40554) set, waarin Jake te zien is in zijn menselijke vorm, met een bevestigbare rolstoel, en als avatar met zijn Na'vi-speer. De beide versies van het personage staan op een stevige basisplaat, zodat ze perfect zijn om mee te spelen en neer te zetten. Verzamelaars van LEGO BrickHeadz sets kunnen bovendien extra lol beleven door modellen te combineren en hun eigen maffe, hybride personages te maken. Verzamel- en bouwset - leuke LEGO® BrickHeadz™ afbeeldingen van Jake Sully en zijn avatar (40554) Een traktatie voor elke gelegenheid  - geef deze set cadeau voor een verjaardag, de feestdagen of als verrassing aan kinderen en fans van de Avatar-films vanaf 10 jaar Afmetingen - Jake is in menselijke vorm met rolstoel ca. 8 cm hoog en ca. 12 cm hoog als Avatar"
20,"https://www.lego.com/nl-nl/product/fc-barcelona-go-brick-me-40542","10+",530,"Maak mij van stenen - FC Barcelona","€19,99","https://www.lego.com/cdn/cs/set/assets/bltbb52d0c83adf3b6a/40542.png","Kinderen en fans van FC Barcelona zullen het geweldig vinden om een BrickHeadz™ model van zichzelf te maken als speler van een van de grootste voetbalclubs ter wereld! Ze kunnen kiezen uit 3 verschillende huidtinten, 4 haarkleuren en allerlei haarstijlen zoals stekeltjes, een staart, een hanenkam of opgeschoren. Op de voorkant van het shirt staat het bekende logo van de club en er zijn 2 stickervellen inbegrepen waarmee fans het rugnummer van hun keuze aan het model kunnen geven. Word een FC Barcelona speler in LEGO® BrickHeadz™ vorm! - kinderen van 10 jaar en ouder kunnen een model van zichzelf maken in het shirt van een van de grootste voetbalclubs ter wereld Aanpasbaar model - kinderen kunnen kiezen uit 3 verschillende huidtinten, 4 haarkleuren en allerlei haarstijlen. Ze kunnen ook hun eigen rugnummer kiezen dankzij de 2 meegeleverde stickervellen Spelen en neerzetten - het model is ca. 8 cm hoog en inclusief een klein doel en een voetbal, zodat FC Barcelona fans nog meer plezier kunnen beleven"
21,"https://www.lego.com/nl-nl/product/manchester-united-go-brick-me-40541","10+",530,"Maak mij van stenen - Manchester United","€19,99","https://www.lego.com/cdn/cs/set/assets/blt44a2a2ec01440357/40541.png","Kinderen en fans van Manchester United zullen het geweldig vinden om een BrickHeadz™ model van zichzelf te maken als speler van een van de beroemdste voetbalclubs ter wereld! Ze kunnen kiezen uit 3 verschillende huidtinten, 4 haarkleuren en allerlei haarstijlen, zoals stekeltjes, een staart, een hanenkam of opgeschoren. Op de voorkant van het shirt staat het bekende logo van de club en er zijn 2 stickervellen inbegrepen waarmee fans het rugnummer van hun keuze aan het model kunnen geven. Word een Manchester United speler in LEGO® BrickHeadz™ vorm! - kinderen van 10 jaar en ouder kunnen een model van zichzelf maken in het shirt van een van de beroemdste voetbalclubs ter wereld Aanpasbaar model - kinderen kunnen kiezen uit 3 verschillende huidtinten, 4 haarkleuren en allerlei haarstijlen. Ze kunnen ook hun eigen rugnummer kiezen dankzij de 2 meegeleverde stickervellen Spelen en neerzetten - het model is ca. 8 cm hoog en inclusief een klein doel en een voetbal, zodat Manchester United fans nog meer plezier kunnen beleven"
22,"https://www.lego.com/nl-nl/product/obi-wan-kenobi-darth-vader-40547","10+",260,"Obi-Wan Kenobi™ & Darth Vader™","€19,99","https://www.lego.com/cdn/cs/set/assets/blt4be686c9aaced5fa/40547.png","Fans beleven legendarische scènes uit Star Wars: Obi-Wan Kenobi opnieuw wanneer ze de LEGO® BrickHeadz™ versies van de beroemde personages Obi-Wan Kenobi en Darth Vader bouwen. De Kracht is sterk aanwezig in dit duo met authentieke details, zoals Darth Vaders rode ogen en een lichtzwaard voor elke bouwbare LEGO® figuur, plus bouwplaten om ze op neer te zetten. Dit creatieve bouwspeelgoed voor fans vanaf 10 jaar is een geweldige aanwinst voor elke Star Wars™ verzameling. Beroemde Star Wars™ personages in LEGO® BrickHeadz™ stijl - bouwbare LEGO BrickHeadz figuren van Obi-Wan Kenobi en Darth Vader (40547) met lichtzwaarden Gemaakt om gezien te worden - elke bouwbare LEGO® figuur is ca. 8 cm hoog. In de doos vind je bouwplaten en stapsgewijze bouwinstructies Cadeau-idee voor fans vanaf 10 jaar - deze 260-delige speelgoedbouwset is een leuk cadeau voor een verjaardag, de feestdagen of een andere gelegenheid voor kinderen en volwassen Star Wars™ fans"
23,"https://www.lego.com/nl-nl/product/kingsley-shacklebolt-nymphadora-tonks-40618","10+",250,"Romeo Wolkenveldt™ en Nymphadora Tops™","€19,99","https://www.lego.com/cdn/cs/set/assets/bltf64d724119306dde/40618.png","Fans kunnen scènes uit Harry Potter en de Orde van de Feniks™ opnieuw beleven terwijl ze deze kleurrijke LEGO® Harry Potter™ Romeo Wolkenveldt™ en Nymphadora Tops™ figuren (40618) bouwen. Het uiterlijk van deze populaire personages, van Nymphadora's felroze haar tot Romeo's stijlvolle hoofddeksel, is op een slimme manier weergegeven in LEGO BrickHeadz™ stijl. Deze LEGO set is geschikt voor kinderen vanaf 10 jaar en een leuke cadeautip voor Harry Potter fans en verzamelaars. Bouwbare Romeo Wolkenveldt™ en Nymphadora Tops™ figuren (40618) - maak het uiterlijk en de opvallende outfits van 2 populaire Harry Potter™ personages na in LEGO® BrickHeadz™ stijl Gemaakt om gezien te worden - elk bouwbare personage is ca. 8 cm hoog, inclusief de bouwplaat Cadeau-idee voor kinderen vanaf 10 jaar - geef deze 250-delige LEGO® bouwset cadeau aan een Harry Potter™ fan voor een verjaardag, de feestdagen of als verrassing"
