"Position","age","num_pieces","name","price","alternative_text","link"
60,"10+",139,"Belle",,"primary","https://www.lego.com/nl-nl/product/belle-41595"
61,"10+",135,"Aquaman™",,"primary","https://www.lego.com/nl-nl/product/aquaman-41600"
62,"10+",108,"Cyborg™",,"primary","https://www.lego.com/nl-nl/product/cyborg-41601"
63,"8+",203,"Koi",,"primary","https://www.lego.com/nl-nl/product/koi-fish-40545"
64,"10+",143,"Wonder Woman™",,"primary","https://www.lego.com/nl-nl/product/wonder-woman-41599"
65,"10+",160,"Steve & Creeper™",,"primary","https://www.lego.com/nl-nl/product/steve-creeper-41612"
66,"10+",180,"Notenkraker",,"primary","https://www.lego.com/nl-nl/product/nutcracker-40425"
67,"10+",177,"Thanksgiving vogelverschrikker",,"primary","https://www.lego.com/nl-nl/product/thanksgiving-scarecrow-40352"
68,"10+",175,"Monkey King",,"primary","https://www.lego.com/nl-nl/product/monkey-king-40381"
69,"10+",247,"Newt Scamander™ & Gellert Grindelwald",,"primary","https://www.lego.com/nl-nl/product/newt-scamander-gellert-grindelwald-41631"
70,"8+",250,"Kortharige katten",,"primary","https://www.lego.com/nl-nl/product/shorthair-cats-40441"
71,"10+",105,"Thanos",,"primary","https://www.lego.com/nl-nl/product/thanos-41605"
72,"10+",240,"Marty McFly en Doc Brown",,"primary","https://www.lego.com/nl-nl/product/marty-mcfly-doc-brown-41611"
73,"10+",255,"Bruidegom",,"primary","https://www.lego.com/nl-nl/product/wedding-groom-40384"
74,"10+",192,"Paasschaap",,"primary","https://www.lego.com/nl-nl/product/easter-sheep-40380"
75,"10+",281,"Rendier, Elf en Elfie",,"primary","https://www.lego.com/nl-nl/product/reindeer-elf-and-elfie-40353"
76,"10+",149,"Chewbacca™",,"primary","https://www.lego.com/nl-nl/product/chewbacca-41609"
77,"10+",130,"Kylo Ren™",,"primary","https://www.lego.com/nl-nl/product/kylo-ren-41603"
78,"10+",228,"Peter Venkman™ & Slimer™",,"primary","https://www.lego.com/nl-nl/product/peter-venkman-slimer-41622"
79,"10+",89,"Meester Wu",,"primary","https://www.lego.com/nl-nl/product/master-wu-41488"
80,"10+",134,"Gelukskatje",,"primary","https://www.lego.com/nl-nl/product/lucky-cat-40436"
81,"10+",170,"Drakendanser",,"primary","https://www.lego.com/nl-nl/product/dragon-dance-guy-40354"
82,"10+",150,"Verjaardagsclown",,"primary","https://www.lego.com/nl-nl/product/birthday-clown-40348"
83,"10+",153,"Lady Liberty",,"primary","https://www.lego.com/nl-nl/product/lady-liberty-40367"
84,"10+",119,"Rey",,"primary","https://www.lego.com/nl-nl/product/rey-41602"
85,"10+",140,"Valentijnsbij",,"primary","https://www.lego.com/nl-nl/product/brickheadz-bumble-bee-40270"
86,"10+",104,"Darth Vader™",,"primary","https://www.lego.com/nl-nl/product/darth-vader-41619"
87,"10+",141,"Han Solo™",,"primary","https://www.lego.com/nl-nl/product/han-solo-41608"
88,"8+",236,"Sint-bernard",,"primary","https://www.lego.com/nl-nl/product/pets---st-bernard-40543"
89,"10+",99,"Batgirl™",,"primary","https://www.lego.com/nl-nl/product/batgirl-41586"
90,"10+",127,"Captain Phasma™",,"primary","https://www.lego.com/nl-nl/product/captain-phasma-41486"
91,"10+",406,"NINJAGO® 10",,"primary","https://www.lego.com/nl-nl/product/ninjago-10-40490"
92,"10+",344,"Voldemort™, Nagini & Bellatrix",,"primary","https://www.lego.com/nl-nl/product/voldemort-nagini--bellatrix-40496"
93,"10+",109,"Captain Jack Sparrow",,"primary","https://www.lego.com/nl-nl/product/captain-jack-sparrow-41593"
94,"8+",269,"Rode gestreepte kat",,"primary","https://www.lego.com/nl-nl/product/ginger-tabby-40480"
95,"10+",124,"Stormtrooper™",,"primary","https://www.lego.com/nl-nl/product/stormtrooper-41620"
96,"10+",244,"Gru, Stuart en Otto",,"primary","https://www.lego.com/nl-nl/product/tbd-conf-bh-ip-2-and-buddies-1-40420"
97,"8+",243,"Hamster",,"primary","https://www.lego.com/nl-nl/product/hamster-40482"
98,"10+",79,"Captain America",,"primary","https://www.lego.com/nl-nl/product/captain-america-41589"
99,"10+",160,"Mr. Incredible en Frozone",,"primary","https://www.lego.com/nl-nl/product/mr-incredible-frozone-41613"
100,"10+",96,"Iron Man",,"primary","https://www.lego.com/nl-nl/product/iron-man-41590"
101,"10+",180,"Harry Potter™ en Hedwig™",,"primary","https://www.lego.com/nl-nl/product/harry-potter-hedwig-41615"
102,"10+",136,"Halloweenspook",,"primary","https://www.lego.com/nl-nl/product/halloween-ghost-40351"
103,"10+",201,"Anna en Olaf",,"primary","https://www.lego.com/nl-nl/product/anna-olaf-41618"
104,"8+",186,"Goudvis",,"primary","https://www.lego.com/nl-nl/product/goldfish-40442"
105,"10+",129,"Minnie Mouse",,"primary","https://www.lego.com/nl-nl/product/minnie-mouse-41625"
106,"16+",192,"Demogorgon & Elf",,"primary","https://www.lego.com/nl-nl/product/stranger-things-40549"
107,"10+",141,"La Catrina",,"primary","https://www.lego.com/nl-nl/product/la-catrina-40492"
108,"10+",151,"The Joker™",,"primary","https://www.lego.com/nl-nl/product/the-joker-41588"
109,"10+",245,"Ron Wemel™ & Albus Perkamentus™",,"primary","https://www.lego.com/nl-nl/product/ron-weasley-albus-dumbledore-41621"
110,"10+",124,"Prinses Leia Organa™",,"primary","https://www.lego.com/nl-nl/product/princess-leia-organa-41628"
111,"10+",361,"Ariël & Ursula",,"primary","https://www.lego.com/nl-nl/product/ariel-ursula-41623"
112,"10+",234,"Owen en Blue",,"primary","https://www.lego.com/nl-nl/product/owen-blue-41614"
113,"10+",127,"Hermelien Griffel™",,"primary","https://www.lego.com/nl-nl/product/hermione-granger-41616"
114,"10+",91,"Batman™",,"primary","https://www.lego.com/nl-nl/product/batman-41585"
115,"10+",136,"Gamora",,"primary","https://www.lego.com/nl-nl/product/gamora-41607"
116,"10+",143,"Black Widow",,"primary","https://www.lego.com/nl-nl/product/black-widow-41591"
117,"10+",91,"Finn",,"primary","https://www.lego.com/nl-nl/product/finn-41485"
118,"10+",101,"Robin™",,"primary","https://www.lego.com/nl-nl/product/robin-41587"
119,"10+",93,"The Hulk",,"primary","https://www.lego.com/nl-nl/product/the-hulk-41592"
120,"10+",102,"Lloyd",,"primary","https://www.lego.com/nl-nl/product/lloyd-41487"
121,"10+",101,"Iron Man MK50",,"primary","https://www.lego.com/nl-nl/product/iron-man-mk50-41604"
122,"8+",304,"Poedel",,"primary","https://www.lego.com/nl-nl/product/poodle-40546"
123,"10+",118,"Captain Armando Salazar",,"primary","https://www.lego.com/nl-nl/product/captain-armando-salazar-41594"
124,"8+",219,"Valkparkiet",,"primary","https://www.lego.com/nl-nl/product/cockatiel-40481"
